CurrentClinicName1,CurrentClinicCity,CurrentClinicState,TotNumCycles1,TotNumCycles2
"UNIVERSITY REPRODUCTIVE ASSOCIATES, PC",HASBROUCK HEIGHTS,NEW JERSEY,187,109
SHORE INSTITUTE FOR REPRODUCTIVE MEDICINE DBA,LAKEWOOD,NEW JERSEY,91,68
"DELAWARE VALLEY OBGYN & INFERTILITY GROUP, PC",LAWRENCEVILLE,NEW JERSEY,36,28
INSTITUTE FOR REPRODUCTIVE MEDICINE AND SCIENCE,LIVINGSTON,NEW JERSEY,498,298
DELAWARE VALLEY INSTITUTE OF FERTILITY AND GENETICS,MARLTON,NEW JERSEY,73,43
SOUTH JERSEY FERTILITY CENTER,MARLTON,NEW JERSEY,313,125
DIAMOND INSTITUTE FOR INFERTILITY AND MENOPAUSE,MILLBURN,NEW JERSEY,165,80
"COOPER INSTITUTE FOR REPRODUCTIVE HORMONAL DISORDERS, PC",MOUNT LAUREL,NEW JERSEY,178,158
FERTILITY INSTITUTE OF NEW JERSEY AND NEW YORK,ORADELL,NEW JERSEY,176,112
VALLEY HOSPITAL FERTILITY CENTER,PARAMUS,NEW JERSEY,157,108
DAMIEN FERTILITY PARTNERS,SHREWSBURY,NEW JERSEY,175,116
CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,VOORHEES,NEW JERSEY,128,52
"CAPERTON FERTILITY INSTITUTE, LLC",ALBUQUERQUE,NEW MEXICO,149,91
"THE FERTILITY CENTER OF NEW MEXICO, LLC",ALBUQUERQUE,NEW MEXICO,82,58
GENESIS FERTILITY & REPRODUCTIVE MEDICINE,BROOKLYN,NEW YORK,282,156
KOFINAS FERTILITY GROUP,BROOKLYN,NEW YORK,194,105
"INFERTILITY & IVF MEDICAL ASSOCIATES OF WESTERN NEW YORK, PLLC DBA",BUFFALO,NEW YORK,307,129
"HUDSON VALLEY FERTILITY, PLLC",FISHKILL,NEW YORK,142,81
THE NEW YORK FERTILITY CENTER,FLUSHING,NEW YORK,104,74
MONTEFIORE'S INSTITUTE FOR REPRODUCTIVE MEDICINE AND HEALTH,HARTSDALE,NEW YORK,69,59
"BOSTON IVF, THE ALBANY CENTER",LOUDONVILLE,NEW YORK,272,127
NORTHWELL HEALTH FERTILITY,MANHASSET,NEW YORK,583,426
LONG ISLAND IVF,MELVILLE,NEW YORK,438,284
REPRODUCTIVE SPECIALISTS OF NEW YORK,MINEOLA,NEW YORK,455,357
WESTCHESTER REPRODUCTIVE MEDICINE,MOUNT KISCO,NEW YORK,11,6
"ADVANCED FERTILITY SERVICES, PC",NEW YORK,NEW YORK,15,10
CCRM NEW YORK,NEW YORK,NEW YORK,298,192
CENTER FOR HUMAN REPRODUCTION (CHR),NEW YORK,NEW YORK,62,60
CHELSEA FERTILITY NYC,NEW YORK,NEW YORK,86,45
COLUMBIA UNIVERSITY FERTILITY CENTER,NEW YORK,NEW YORK,229,245
EXTEND FERTILITY-EXPECT FERTILITY,NEW YORK,NEW YORK,211,290
"GENERATION NEXT FERTILITY, PLLC",NEW YORK,NEW YORK,59,64
"LIBERA MEDICAL, PLLC",NEW YORK,NEW YORK,238,326
"ANDREW LOUCOPOULOS, MD, PHD",NEW YORK,NEW YORK,15,13
MANHATTAN REPRODUCTIVE MEDICINE,NEW YORK,NEW YORK,14,8
"METROPOLITAN REPRODUCTIVE MEDICINE, PC",NEW YORK,NEW YORK,38,19
NEW HOPE FERTILITY CENTER,NEW YORK,NEW YORK,822,527
NEW YORK FERTILITY INSTITUTE,NEW YORK,NEW YORK,42,37
"NEW YORK FERTILITY SERVICES, PC",NEW YORK,NEW YORK,40,36
NEWAY MEDICAL,NEW YORK,NEW YORK,69,69
NOBLE FERTILITY CENTER,NEW YORK,NEW YORK,111,38
NYU LANGONE FERTILITY CENTER,NEW YORK,NEW YORK,804,738
